Start date,End date,Duration [d],Mean catchment precipitation depth - IMERG [mm],Mean catchment precipitation depth - ERA5 [mm],Centre of mass coordinate - IMERG [°N/°E],Centre of mass coordinate - ERA5 [°N/°E],Maximum precipitation coordinate - IMERG [°N/°E],Maximum precipitation coordinate - ERA5 [°N/°E]
20180816_00,20180818_00,2,6.6,4.5,32.05/-1.95,32/-2.5,32.45/-1.05,32.5/-4
20180819_00,20180823_00,4,18.4,5.8,31.75/-1.65,32/-1.5,32.85/-1.05,32.5/-1
20180830_00,20180831_00,1,6.9,1.1,31.85/-2.25,32/-2,32.05/-1.85,32.5/-3
20180907_00,20180908_00,1,3,0.4,32.15/-2.65,32/-3,33.05/-2.85,32.5/-4
20180911_00,20180912_00,1,6.3,1.2,31.75/-2.55,32/-3,31.25/-3.55,32.5/-4
20180917_00,20180918_00,1,4.4,0.3,31.85/-2.55,31.5/-1.5,32.05/-3.75,32.5/-0.5
20180926_00,20180927_00,1,1.9,0.9,31.85/-2.85,32/-3,32.35/-4.15,32.5/-4
20181001_00,20181002_00,1,0.9,0.3,32.65/-2.35,32.5/-3,32.55/-3.65,32.5/-4
20181009_00,20181011_00,2,9.4,1,31.65/-1.65,31/-1.5,33.05/-2.85,32.5/-1
20181113_00,20181115_00,2,4.9,2.1,31.85/-2.55,32/-3,31.75/-3.45,32.5/-4
20181123_00,20181125_00,2,17.6,13.3,31.35/-1.95,30.5/-1.5,30.55/-2.95,30/-2
20190307_00,20190308_00,1,1.1,0.4,32.35/-3.45,32/-3,32.15/-4.05,32.5/-4
20190323_00,20190325_00,2,4,3.4,31.55/-2.75,31.5/-2.5,31.55/-3.45,31.5/-3.5
20190326_00,20190327_00,1,3,2.1,31.55/-1.65,30.5/-1.5,32.85/-3.05,30.5/-0.5
20190330_00,20190401_00,2,13.5,16.7,31.55/-1.85,31/-2,30.85/-1.15,30/-0.5
20190404_00,20190405_00,1,1.6,2.1,32.45/-1.65,32.5/-2.5,32.95/-0.45,32.5/-2
20190421_00,20190422_00,1,1.7,1.6,32.25/-1.15,32/-2,32.65/-0.75,32.5/-1.5
20190429_00,20190430_00,1,3.3,0.8,31.95/-2.05,32.5/-2.5,31.85/-2.25,32.5/-2.5
20190831_00,20190901_00,1,1.2,0.4,30.75/-1.95,31/-2.5,30.15/-1.25,30.5/-2.5
